"UF","cod.UF","cod Municipio","Nome do municipio","População estimada","PIB per capita","PIB TOTAL","Atividade econômica","Ranking PIB per capita","Ranking PIB Total"
"SP","35","3534807","Ouro Verde","8.330","1.354.239","114.297.811","Demais serviços","2963","3279"
"SP","35","3534757","Ouroeste","9.564","4.440.727","439.498.731","Demais serviços","419","1335"
"SP","35","3534906","Pacaembu","13.961","1.423.514","200.516.234","Demais serviços","2853","2355"
"SP","35","3535002","Palestina","12.231","3.179.078","398.719.969","Agricultura, inclusive apoio à agricultura e a pós colheita","932","1433"
"SP","35","3535101","Palmares Paulista","12.336","929.776","118.360.458","Administração, defesa, educação e saúde públicas e seguridade social","3801","3230"
"SP","35","3535200","Palmeira d'Oeste","9.596","1.783.011","16.931.468","Demais serviços","2332","5278"
"SP","35","3535309","Palmital","22.094","3.112.519","690.854.737","Demais serviços","977","947"
"SP","35","3535408","Panorama","15.458","1.729.786","270.175.254","Demais serviços","2400","1902"
"SP","35","3535507","Paraguaçu Paulista","44.794","2.729.275","1.235.133.356","Demais serviços","1238","596"
"SP","35","3535606","Paraibuna","18.125","1.503.139","273.661.484","Demais serviços","2733","1881"
"SP","35","3535705","Paraíso","6.290","3.636.079","231.581.882","Demais serviços","690","2125"
"SP","35","3535804","Paranapanema","19.357","3.008.871","593.650.227","Demais serviços","1041","1077"
"SP","35","3535903","Paranapuã","4.018","2.434.878","9.863.691","Agricultura, inclusive apoio à agricultura e a pós colheita","1532","5366"
"SP","35","3536000","Parapuã","11.098","3.235.204","358.234.177","Demais serviços","885","1545"
"SP","35","3536109","Pardinho","6.122","4.522.931","283.090.226","Demais serviços","397","1845"
"SP","35","3536208","Pariquera-Açu","19.391","2.697.118","526.935.959","Demais serviços","1269","1173"
"SP","35","3536257","Parisi","2.134","2.270.383","48.813.235","Administração, defesa, educação e saúde públicas e seguridade social","1725","4560"
"SP","35","3536307","Patrocínio Paulista","14.093","6.278.217","900.986.987","Indústrias de transformação","145","767"
"SP","35","3536406","Paulicéia","6.981","2.117.208","151.316.857","Demais serviços","1904","2816"
"SP","35","3536505","Paulínia","97.702","34.484.717","35.346.489.875","Indústrias de transformação","1","19"
"SP","35","3536570","Paulistânia","1.839","1.981.909","36.486.953","Administração, defesa, educação e saúde públicas e seguridade social","2080","4926"
"SP","35","3536604","Paulo de Faria","8.924","2.917.905","261.240.033","Agricultura, inclusive apoio à agricultura e a pós colheita","1108","1957"
"SP","35","3536703","Pederneiras","44.910","3.770.852","172.358.098","Demais serviços","631","2608"
"SP","35","3536802","Pedra Bela","6.044","1.318.531","80.140.289","Demais serviços","3019","3848"
"SP","35","3536901","Pedranópolis","2.570","2.508.975","63.903.599","Agricultura, inclusive apoio à agricultura e a pós colheita","1458","4183"
"SP","35","3537008","Pedregulho","16.517","5.847.419","973.302.963","Eletricidade e gás, água, esgoto, atividades de gestão de resíduos e descontaminação","176","710"
"SP","35","3537107","Pedreira","45.579","2.421.851","1.128.534.286","Demais serviços","1548","634"
"SP","35","3537156","Pedrinhas Paulista","3.071","4.885.289","150.808.864","Demais serviços","315","2822"
"SP","35","3537206","Pedro de Toledo","10.967","1.358.502","151.282.823","Administração, defesa, educação e saúde públicas e seguridade social","2957","2818"
"SP","35","3537305","Penápolis","62.071","2.518.601","1.580.119.882","Demais serviços","1449","492"
"SP","35","3537404","Pereira Barreto","25.767","3.170.106","817.570.394","Demais serviços","938","836"
"SP","35","3537503","Pereiras","8.213","2.354.584","198.020.507","Demais serviços","1618","2367"
"SP","35","3537602","Peruíbe","65.226","202.318","134.687.159","Demais serviços","5210","3024"
"SP","35","3537701","Piacatu","5.739","1.639.358","9.583.689","Demais serviços","2533","5372"
"SP","35","3537800","Piedade","54.717","2.210.436","1.217.773.232","Demais serviços","1804","600"
"SP","35","3537909","Pilar do Sul","28.309","2.230.948","640.683.689","Demais serviços","1774","1015"
"SP","35","3538006","Pindamonhangaba","160.614","4.270.421","7.003.490.004","Demais serviços","462","136"
"SP","35","3538105","Pindorama","16.342","1.773.318","295.363.792","Demais serviços","2342","1798"
"SP","35","3538204","Pinhalzinho","14.423","1.695.225","250.266.079","Demais serviços","2445","2019"
"SP","35","3538303","Piquerobi","3.679","1.467.915","5.421.009","Administração, defesa, educação e saúde públicas e seguridade social","2789","5469"
"SP","35","3538501","Piquete","14.123","1.096.352","153.226.174","Demais serviços","3388","2803"
"SP","35","3538600","Piracaia","26.688","1.763.643","476.024.949","Demais serviços","2355","1264"
"SP","35","3538709","Piracicaba","391.449","5.511.115","21.896.871.501","Demais serviços","213","34"
"SP","35","3538808","Piraju","29.664","235.057","700.234.791","Demais serviços","5166","938"
"SP","35","3538907","Pirajuí","24.546","1.803.404","450.364.019","Demais serviços","2310","1316"
"SP","35","3539004","Pirangi","11.220","2.616.121","296.223.345","Demais serviços","1346","1794"
"SP","35","3539103","Pirapora do Bom Jesus","17.646","2.179.812","39.615.906","Demais serviços","1839","4842"
"SP","35","3539202","Pirapozinho","26.594","356.039","962.052.981","Indústrias de transformação","5073","720"
"SP","35","3539301","Pirassununga","74.587","3.452.448","2.605.700.403","Demais serviços","773","322"
"SP","35","3539400","Piratininga","13.093","1.631.728","217.590.935","Demais serviços","2547","2227"
"SP","35","3539509","Pitangueiras","38.211","3.043.276","1.183.499.707","Demais serviços","1018","613"
